No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
299,满,mǎn,full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; to fill; abbr. for Manchurian,満ちる,杯子满了。,コップはいっぱいだ。,The cup is full.,今天的会议内容非常满，讨论了很多问题。,今日の会議の内容は非常に充実していて、多くの問題を議論しました。
300,毛,máo,hair; feather; down,毛（通貨単位）,这个一毛钱。,これは一毛（0.1元）です。,This costs one mao (0.1 yuan).,这件衣服的价格是三百块零五毛。,この服の値段は300元と5角です。
301,毛巾,máo jīn,towel; CL:条[tiao2],タオル,我用毛巾擦脸。,私はタオルで顔を拭きます。,I wipe my face with a towel.,洗完澡后，我用毛巾把头发擦干。,お風呂に入った後、タオルで髪を拭きました。
302,美丽,měi lì,beautiful,美しい,她的花园很美丽。,彼女の庭はとても美しいです。,Her garden is very beautiful.,她穿着一件美丽的红色连衣裙参加晚会。,彼女は美しい赤いワンピースを着てパーティーに参加しました。
303,梦,mèng,"dream; CL:场[chang2] ,个",夢,我做了一个好梦。,私は良い夢を見ました。,I had a good dream.,昨晚我做了一个奇怪的梦，梦见自己飞了起来。,昨晩、私は変な夢を見て、自分が飛んでいる夢でした。
304,迷路,mí lù,to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear),道に迷う,他在城市里迷路了。,彼は街で迷子になりました。,He got lost in the city.,我们在陌生的城市里迷路了，不知道该往哪里走。,私たちは見知らぬ街で道に迷って、どこへ行けばいいかわかりませんでした。
305,密码,mì mǎ,code; secret code; password; pin number,パスワード,请不要告诉别人密码。,どうか他の人にパスワードを教えないでください。,Please don't tell others the password.,请不要告诉别人你的密码，这样才能保证安全。,他人にパスワードを教えないでください。そうすれば安全を確保できます。
306,免费,miǎn fèi,free (of charge),無料,这本书是免费的。,この本は無料です。,This book is free.,这家咖啡店提供免费的无线网络服务。,このカフェは無料のWi-Fiサービスを提供しています。
307,秒,miǎo,second (of time); unit of angle or arc equivalent to one sixtieth of a degree,秒,比赛只剩五秒。,試合はあと5秒だけ残っています。,Only five seconds remain in the match.,比赛开始后，他在几秒钟内就跑到了终点。,試合が始まってから、彼は数秒でゴールに到達しました。
308,民族,mín zú,nationality; ethnic group; CL:个,民族,中国有很多民族。,中国には多くの民族があります。,China has many ethnic groups.,中国是一个有56个民族的多民族国家。,中国は56の民族がいる多民族国家です。
309,母亲,mǔ qīn,mother; also pr. with light tone [mu3 qin5]; CL:个,母親,母亲很关心我。,母は私のことをとても心配しています。,My mother cares about me a lot.,母亲每天早起为家人准备早餐，非常辛苦。,母は毎日早起きして家族のために朝食を準備し、とても大変です。
310,目的,mù dì,purpose; aim; goal; target; objective; CL:个,目的,旅行的目的很重要。,旅行の目的はとても重要です。,The purpose of travel is very important.,学习汉语的目的不仅是为了考试，更是为了交流。,中国語を学ぶ目的は試験のためだけでなく、交流のためでもあります。
311,耐心,nài xīn,to be patient; patient (adjective),忍耐,学习需要耐心。,勉強には忍耐が必要です。,Learning requires patience.,在教孩子学习时，父母需要有足够的耐心。,子どもに勉強を教える時、親は十分な忍耐力が必要です。
312,难道,nán dào,don't tell me...; could it be that...?,まさか,难道你不相信我？,まさか私を信じていないのですか？,Don't you believe me?,难道你不想去旅行吗？我们可以一起计划。,まさか旅行に行きたくないのですか？一緒に計画できますよ。
313,难受,nán shòu,to feel unwell; to suffer pain; to be difficult to bear,つらい,感冒让我很难受。,風邪でとてもつらいです。,The cold makes me feel very uncomfortable.,感冒的时候身体很难受，需要多休息和喝水。,風邪のときは体調がとても悪く、多く休んで水を飲む必要があります。
314,内,nèi,inside; inner; internal; within; interior,内側,箱子里面有书。,箱の中に本があります。,There are books inside the box.,请把文件放在抽屉的内侧，这样比较安全。,書類を引き出しの内側に入れてください。そうすると安全です。
315,内容,nèi róng,"content; substance; details; CL:个,项[xiang4]",内容,这篇文章内容丰富。,この記事は内容が豊富です。,This article is rich in content.,这本书的内容非常丰富，适合各个年龄段的人阅读。,この本の内容はとても豊富で、あらゆる年齢層の人に適しています。
316,能力,néng lì,capability; capable; able; ability; CL:个,能力,他的能力很强。,彼の能力はとても高いです。,His ability is very strong.,提高语言能力需要不断地练习和积累词汇。,語学力を向上させるには、絶えず練習し語彙を蓄積する必要があります。
317,年龄,nián líng,"(a person's) age; CL:把[ba3] ,个",年齢,你今年多大年龄？,あなたは今年何歳ですか？,How old are you this year?,年龄不是问题，重要的是有没有学习的热情。,年齢は問題ではなく、大切なのは学ぶ熱意があるかどうかです。
318,弄,nòng,to do (to manage); to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with,する,我弄坏了手机。,私は携帯電話を壊してしまいました。,I broke my phone.,我弄坏了手机，现在需要去修理店修理。,私は携帯電話を壊してしまい、今は修理店に行って直してもらう必要があります。
319,暖和,nuǎn huo,warm (weather); nice and warm,暖かい,春天很暖和。,春はとても暖かいです。,Spring is very warm.,冬天的时候，穿得暖和一点对健康很好。,冬の時期は、暖かく服を着ることが健康にとても良いです。
320,偶尔,ǒu ěr,occasionally; once in a while; sometimes,たまに,我偶尔去跑步。,私は時々ジョギングに行きます。,I occasionally go running.,我偶尔会去公园散步，放松自己的心情。,私は時々公園に散歩に行って、自分の気持ちをリラックスさせます。
321,排队,pái duì,to line up; queue up; form a line,列に並ぶ,大家排队买票。,みんなで列を作ってチケットを買います。,Everyone lines up to buy tickets.,节假日的时候，很多人排队买票，非常拥挤。,休日には、多くの人がチケットを買うために並び、とても混雑します。
322,排列,pái liè,to arrange; arrangement; array; permutation (i.e. ordered choice of n elements out of m),並べる,请排列好椅子。,椅子をきちんと並べてください。,Please arrange the chairs properly.,请按照字母顺序排列这些文件，方便查找。,これらの書類をアルファベット順に並べてください。探しやすくなります。
323,判断,pàn duàn,to decide; to determine; CL:个,判断する,我不能判断对错。,私は正しいか間違っているか判断できません。,I cannot judge right or wrong.,老师根据学生的表现来判断他们的学习进度。,先生は生徒の様子をもとに、彼らの学習進度を判断します。
324,陪,péi,to accompany; to keep sb company,付き添う,我陪你去医院。,私はあなたと一緒に病院へ行きます。,I will accompany you to the hospital.,周末我会陪父母一起去公园散步聊天。,週末に私は両親と一緒に公園へ散歩に行っておしゃべりします。
325,批评,pī píng,to criticize; criticism; CL:个,批判する,老师批评了我。,先生に叱られました。,The teacher criticized me.,他经常批评自己的缺点，但也要看到优点。,彼は自分の欠点をよく批判しますが、長所も見るべきです。
326,皮肤,pí fū,skin; CL:种[zhong3],皮膚,他的皮肤很白。,彼は肌がとても白いです。,He has very fair skin.,夏天要注意保护皮肤，避免太阳晒伤。,夏は皮膚の保護に注意し、日焼けを避けなければなりません。
327,脾气,pí qi,temperament; disposition; temper; CL:个,気性,他脾气很急。,彼は短気です。,He has a quick temper.,他的脾气很好，遇到困难也不会轻易生气。,彼は気性が穏やかで、困難に直面しても簡単には怒りません。
328,篇,piān,"piece of writing; sheet; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article",篇（文章などの量詞）,我写了一篇文章。,私は一篇の記事を書きました。,I wrote an article.,这篇文章讲述了环保的重要性和方法。,この記事は環境保護の重要性と方法について述べています。
329,骗,piàn,to cheat; to swindle; to deceive; to fool; to hoodwink; to trick,騙す,不要骗别人感情。,他人の感情を騙してはいけません。,Don't deceive others' feelings.,不要相信陌生人说的话，有时候他们会骗你。,知らない人の言うことを信じてはいけません。時々彼らはあなたを騙すことがあります。
330,乒乓球,pīng pāng qiú,table tennis; ping-pong; ping pong; table tennis ball; CL:个,卓球,我们喜欢打乒乓球。,私たちは卓球をするのが好きです。,We like playing table tennis.,我每周都会和朋友一起打乒乓球锻炼身体。,私は毎週友達と一緒に卓球をして体を鍛えています。
331,平时,píng shí,in normal times; in peacetime,普段,平时我很忙。,普段はとても忙しいです。,I am usually very busy.,平时我喜欢看书和听音乐放松自己。,普段は読書や音楽を聴いて自分をリラックスさせるのが好きです。
332,破,pò,"broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of",壊れる,我的手机破了。,私の携帯電話は壊れました。,My phone is broken.,我的手机屏幕破了，需要去换新的屏幕。,私の携帯電話の画面が割れて、新しい画面に交換する必要があります。
333,葡萄,pú tao,grape,ぶどう,我喜欢吃葡萄。,私はぶどうを食べるのが好きです。,I like eating grapes.,葡萄是夏天常见的水果，味道又甜又多汁。,ぶどうは夏によく見られる果物で、味が甘くてジューシーです。
334,普遍,pǔ biàn,universal; general; widespread; common,一般的,这种问题很普遍。,この種の問題はとても一般的です。,This kind of problem is very common.,这种问题在我们国家很普遍，需要引起重视。,このような問題は私たちの国では非常に一般的で、注意を払う必要があります。
335,普通话,pǔ tōng huà,Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech,標準中国語,我们说普通话。,私たちは普通話を話します。,We speak Mandarin.,普通话是中国的官方语言，很多人都在学习。,普通話は中国の公用語で、多くの人が学んでいます。
336,其次,qí cì,next; secondly,次に,首先学习汉字，其次学习语法。,まず漢字を学び、次に文法を学びます。,"First learn Chinese characters, then learn grammar.",他首先完成了作业，其次参加了体育锻炼。,彼はまず宿題を終え、次に体育の運動に参加しました。
337,其中,qí zhōng,among; in; included among these,その中,书中有很多知识，其中有趣的部分。,本の中には多くの知識があり、その中には面白い部分もあります。,"There is a lot of knowledge in the book, including interesting parts.",这本书有很多章节，其中有一章讲历史很有趣。,この本には多くの章があり、その中の一章は歴史についてで、とても面白いです。
338,气候,qì hòu,climate; atmosphere; situation; CL:种[zhong3],気候,这里的气候很温暖。,ここの気候はとても温暖です。,The climate here is very warm.,这个地区的气候四季分明，适合农作物生长。,この地域の気候は四季がはっきりしており、農作物の生育に適しています。
339,千万,qiān wàn,ten million; countless; many; one must by all means,絶対に,千万别忘了带钥匙。,絶対に鍵を持っていくのを忘れないでください。,Be sure not to forget to bring the keys.,这次考试千万不要放松，一定要认真复习。,今回の試験は絶対に気を抜かず、しっかり復習しなければなりません。
340,签证,qiān zhèng,visa; certificate; to certify; CL:个,ビザ,我正在办理签证。,私は今ビザの手続きをしています。,I am currently processing my visa.,去国外旅游前，记得办理好签证手续。,海外旅行に行く前に、ビザの手続きを必ず済ませてください。
341,敲,qiāo,extort; knock; to strike; to knock (at a door); to hit,叩く,请敲门再进来。,入る前にノックしてください。,Please knock before entering.,有人敲门了，请你去看看是谁。,誰かがドアをノックしています。誰か見に行ってください。
342,桥,qiáo,bridge; CL:座[zuo4],橋,我们过了那座桥。,私たちはあの橋を渡りました。,We crossed that bridge.,这座桥连接了两个城市，交通非常方便。,この橋は二つの都市をつなぎ、交通がとても便利です。
343,巧克力,qiǎo kè lì,chocolate (loanword); CL:块[kuai4],チョコレート,她喜欢吃巧克力。,彼女はチョコレートを食べるのが好きです。,She likes eating chocolate.,她喜欢吃巧克力，每天都会买一些当零食。,彼女はチョコレートを食べるのが好きで、毎日おやつとしていくつか買います。
344,亲戚,qīn qi,"a relative (i.e. family relation); CL:门[men2] ,个,位[wei4]",親戚,假期我见了亲戚。,休暇中に親戚に会いました。,I met relatives during the holiday.,春节的时候，很多亲戚会回家一起过年。,春節の時、多くの親戚が家に帰って一緒に新年を祝います。
345,轻,qīng,light (not heavy); light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral,軽い,这个包很轻。,このバッグはとても軽いです。,This bag is very light.,这件衣服很轻，穿起来非常舒服。,この服はとても軽く、着心地が非常に良いです。
346,轻松,qīng sōng,gentle; relaxed,気楽な,假期我很轻松。,休暇中はとてもリラックスしています。,I am very relaxed during the holiday.,考试结束后，我感到非常轻松和开心。,試験が終わった後、私はとてもリラックスして嬉しく感じました。
347,情况,qíng kuàng,"circumstances; state of affairs; situation; CL:个,种[zhong3]",状況,请告诉我情况。,状況を教えてください。,Please tell me the situation.,根据目前的情况，我们需要调整计划。,現在の状況に基づいて、計画を調整する必要があります。
348,穷,qióng,exhausted; poor,貧しい,他家很穷。,彼の家はとても貧しいです。,His family is very poor.,他们家因为穷，生活条件比较困难。,彼らの家は貧しいため、生活条件がやや厳しいです。
349,区别,qū bié,difference; to distinguish; to discriminate; to make a distinction; CL:个,違い,这两者有区别。,この二つには違いがあります。,There is a difference between these two.,这两个词的意思有区别，要注意区分使用。,この二つの言葉は意味に違いがあるので、使い分けに注意してください。
350,取,qǔ,to take; to get; to choose; to fetch,取る,请帮我取东西。,物を取るのを手伝ってください。,Please help me get something.,请你帮我取一下桌子上的那本书，谢谢。,テーブルの上にあるあの本を取ってくれませんか、ありがとう。
351,全部,quán bù,whole; entire; complete,全部,我吃了全部饭。,私は全部ご飯を食べました。,I ate all the rice.,我把全部的工作都完成了，感觉很有成就感。,私は全部の仕事を終えて、とても達成感を感じています。
352,缺点,quē diǎn,weak point; fault; shortcoming; CL:个,欠点,他的缺点很明显。,彼の欠点はとても明らかです。,His shortcomings are very obvious.,每个人都有缺点，重要的是我们要努力改正。,誰にでも欠点はありますが、大切なのはそれを努力して直すことです。
353,缺少,quē shǎo,lack; shortage of; shortfall; to be short (of); to lack,不足,我们缺少时间了。,私たちは時間が足りなくなりました。,We are running out of time.,他缺少经验，所以需要多向老师请教。,彼は経験が不足しているので、先生にたくさん教えを請う必要があります。
354,却,què,but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though,しかし,我想去， 却没钱。,行きたいけど、お金がありません。,"I want to go, but I have no money.",我以为他会来，结果他却没有出现。,彼が来ると思っていたのに、結局彼は現れませんでした。
355,确实,què shí,indeed; really; reliable; real; true,確かに,他确实很努力。,彼は確かにとても努力しています。,He is indeed very hardworking.,他的说法确实有道理，我们应该认真考虑。,彼の言い分は確かに道理があるので、私たちは真剣に考えるべきです。
356,然而,rán ér,however; yet; but,しかし,天气冷，然而他出门。,天気は寒いのに、彼は出かけました。,"The weather is cold; however, he went out.",天气很冷，然而他还是决定去跑步。,天気はとても寒いのに、彼はそれでも走りに行くことに決めました。
357,热闹,rè nao,bustling with noise and excitement; lively,賑やか,市场非常热闹。,市場はとても賑やかです。,The market is very lively.,春节的时候，街上非常热闹，到处都是欢笑声。,春節の時、街はとても賑やかで、あちこちから笑い声が聞こえます。
358,任何,rèn hé,any; whatever; whichever; whatsoever,どんな,你可以问任何人。,あなたは誰にでも聞いていいです。,You can ask anyone.,你可以在任何时间联系我，我都会帮你的。,あなたはいつでも私に連絡していいですよ、私は必ず助けます。
359,任务,rèn wu,"mission; assignment; task; duty; role; CL:项[xiang4] ,个",任務,今天的任务很重。,今日の任務はとても重いです。,Today's task is very heavy.,完成这个任务需要团队合作和耐心。,この任務を完成するにはチームワークと忍耐が必要です。
360,扔,rēng,to throw; to throw away,投げる,请不要扔垃圾。,ゴミを捨てないでください。,Please do not throw garbage.,请不要随地扔垃圾，保持环境清洁很重要。,どうかゴミをそこらに捨てないでください。環境をきれいに保つことはとても重要です。
361,仍然,réng rán,still; yet,依然,他仍然很忙。,彼は依然としてとても忙しいです。,He is still very busy.,虽然遇到困难，他仍然坚持自己的梦想。,困難に直面しても、彼はそれでも自分の夢を貫いています。
362,日记,rì jì,"diary; CL:则[ze2] ,本[ben3] ,篇[pian1]",日記,我每天写日记。,私は毎日日記を書きます。,I write a diary every day.,她每天晚上都会写日记，记录生活中的点滴。,彼女は毎晩日記を書いて、生活のあれこれを記録しています。
363,入口,rù kǒu,entrance,入口,入口在左边。,入口は左側にあります。,The entrance is on the left.,商店的入口就在马路对面，非常容易找到。,お店の入口は道路の向かいにあり、とても見つけやすいです。
364,散步,sàn bù,to take a walk; to go for a walk,散歩,我们晚上散步去。,私たちは夜に散歩に行きます。,We go for a walk in the evening.,下午天气很好，我们一起去公园散步吧。,午後は天気が良いので、一緒に公園へ散歩に行きましょう。
365,森林,sēn lín,forest; CL:片[pian4],森林,森林里有很多动物。,森にはたくさんの動物がいます。,There are many animals in the forest.,森林里有很多动物，是大自然的家园。,森林にはたくさんの動物がいて、自然の家です。
366,沙发,shā fā,"sofa; CL:条[tiao2] ,张[zhang1]",ソファー,沙发很舒服。,ソファはとても快適です。,The sofa is very comfortable.,客厅里有一张舒服的沙发，大家可以坐在那里聊天。,リビングには快適なソファがあり、みんなそこで話をすることができます。
367,伤心,shāng xīn,to grieve; to be broken-hearted; to feel deeply hurt; sad,悲しい,他听到消息很伤心。,彼はその知らせを聞いてとても悲しかったです。,He was very sad to hear the news.,他因为考试没通过，感到非常伤心和失落。,彼は試験に落ちて、とても悲しくて落ち込みました。
368,商量,shāng liang,to consult; to talk over; to discuss,相談する,我们商量一下计划。,私たちは計画について相談します。,We discuss the plan.,遇到重要的问题，我们应该好好商量再做决定。,重要な問題に出会ったら、よく相談してから決定すべきです。
369,稍微,shāo wēi,a little bit,少し,请稍微等一下。,少しだけ待ってください。,Please wait a moment.,请稍微等一会儿，我马上就回来。,少しだけ待ってください、すぐに戻ってきます。
370,勺子,sháo zi,scoop; ladle; CL:把[ba3],おたま,用勺子吃汤吧。,スプーンでスープを飲みましょう。,Use a spoon to eat the soup.,喝汤的时候要用勺子，这样比较方便又安全。,スープを飲むときはスプーンを使うと便利で安全です。
371,社会,shè huì,society; CL:个,社会,社会变化很快。,社会の変化はとても速いです。,Social changes are very fast.,社会的发展需要每个人的共同努力和贡献。,社会の発展には、みんなの共同の努力と貢献が必要です。
372,深,shēn,"deep; late; profound; dark (of color, water etc); deep",深い,这条河很深。,この川はとても深いです。,This river is very deep.,这条河水很深，游泳的时候要特别小心。,この川の水はとても深いので、泳ぐときは特に注意しなければなりません。
373,申请,shēn qǐng,to apply for sth; application (form etc); CL:份[fen4],申し込む,我申请了奖学金。,私は奨学金を申請しました。,I applied for a scholarship.,我已经准备好申请大学，希望能顺利通过审核。,私はもう大学に出願する準備ができていて、無事に審査を通れることを願っています。
374,甚至,shèn zhì,so much so that; even,さえも,他甚至不说话。,彼は話もしませんでした。,He didn't even speak.,他工作很努力，甚至经常加班到很晚。,彼は仕事をとても頑張っていて、時には遅くまで残業することもあります。
375,生活,shēng huó,life; activity; to live; livelihood,生活,生活很忙碌。,生活はとても忙しいです。,Life is very busy.,在大城市生活节奏很快，需要学会适应。,大都市での生活はペースが速いので、適応することを学ぶ必要があります。
376,生命,shēng mìng,life; living; biological; CL:个,生命,生命很宝贵。,命はとても貴重です。,Life is very precious.,保护生命是每个人应尽的责任和义务。,命を守ることは、誰もが果たすべき責任と義務です。
377,生意,shēng yì,life force; vitality;,商売,他的生意很好。,彼の商売はとても良いです。,His business is very good.,他的生意越来越好，客户也越来越多了。,彼の商売はどんどん良くなって、顧客も増えてきました。
378,省,shěng,to do without; to economize; to save; to omit; to leave out; province; CL:个,省,我住在广东省。,私は広東省に住んでいます。,I live in Guangdong Province.,这个省有很多美丽的景点，值得去旅游。,この省にはたくさんの美しい観光地があり、旅行する価値があります。
379,剩,shèng,to remain; to be left; to have as remainder,残り,饭还剩一点。,ご飯が少し残っています。,There is a little rice left.,晚饭吃完后，还剩下很多菜没有吃完。,夕食を食べ終わった後、まだたくさんの料理が残っていました。
380,失败,shī bài,to be defeated; to lose; to fail (e.g. experiments); failure; defeat; CL:次[ci4],失敗,考试失败了。,試験に失敗しました。,I failed the exam.,虽然这次比赛失败了，但我们从中学到了很多经验。,今回の試合は負けましたが、私たちはたくさんの経験を学びました。
381,失望,shī wàng,disappointed; to lose hope; to despair,失望,我感到很失望。,私はとても失望しました。,I felt very disappointed.,考试没通过让他很失望，但他决定继续努力。,試験に合格できず彼はとても失望しましたが、努力を続けることに決めました。
382,师傅,shī fu,"master; qualified worker; respectful form of address for older men; CL:个,位[wei4] ,名[ming2]",先生,师傅教我开车。,師匠が私に運転を教えました。,The master taught me how to drive.,师傅教我怎么修理自行车，我学到了很多东西。,師匠が自転車の直し方を教えてくれて、たくさんのことを学びました。
383,十分,shí fēn,to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely,非常に,他十分努力学习。,彼は非常に一生懸命勉強しています。,He studies very hard.,这次旅行我十分开心，留下了美好的回忆。,今回の旅行はとても楽しく、素敵な思い出ができました。
384,实际,shí jì,actual; reality; practice,実際,实际情况不同。,実際の状況は違います。,The actual situation is different.,我们要根据实际情况来制定计划，不能盲目行动。,私たちは実際の状況に基づいて計画を立てなければならず、盲目的に行動してはいけません。
385,实在,shí zài,in reality; honestly; really; verily; concrete,本当に,我实在没时间。,本当に時間がありません。,I really have no time.,他实在太忙，所以没时间参加我们的活动。,彼は本当に忙しすぎて、私たちの活動に参加する時間がありません。
386,使,shǐ,to cause; to enable; to use; to employ; to make; to send; to instruct sb to do sth; envoy; messenger,使う,手机使我方便。,携帯電話は私を便利にします。,The mobile phone makes me convenient.,老师的话使我明白了学习的重要性。,先生の言葉が私に学習の重要性を理解させました。
387,使用,shǐ yòng,to use; to employ; to apply; to make use of,使用する,请使用这个软件。,このソフトを使ってください。,Please use this software.,请正确使用手机，避免影响他人。,携帯電話は正しく使って、他の人に迷惑をかけないようにしてください。
388,世纪,shì jì,century; CL:个,世紀,这是21世纪。,これは21世紀です。,This is the 21st century.,二十一世纪是科技飞速发展的时代。,21世紀は科学技術が急速に発展する時代です。
389,是否,shì fǒu,whether (or not); if; is or isn't,かどうか,你是否来了？,あなたは来ましたか？,Did you come?,我还不确定是否参加明天的会议。,私はまだ明日の会議に参加するかどうか確かではありません。
390,适合,shì hé,to fit; to suit,適合する,这衣服很适合你。,この服はあなたにとても似合います。,This clothes suit you very well.,这件衣服很适合你，穿上一定很好看。,この服はあなたにとても似合います。着るときっときれいに見えますよ。
391,适应,shì yìng,to suit; to fit; to be suitable; to adapt; to get used to sth,慣れる,我适应了新环境。,私は新しい環境に慣れました。,I have adapted to the new environment.,刚开始上班时，我花了很多时间适应新的环境。,仕事を始めたばかりの時、新しい環境に慣れるのにたくさんの時間がかかりました。
392,收,shōu,to receive; to accept; to collect; in care of (used on address line after name),受け取る,我收到了礼物。,私はプレゼントを受け取りました。,I received a gift.,请把桌子上的书收起来，保持整洁。,机の上の本を片付けて、きれいに保ってください。
393,收入,shōu rù,"to take in; income; revenue; CL:笔[bi3] ,个",収入,他的收入很高。,彼の収入はとても高いです。,His income is very high.,他的收入增加了，所以买了一辆新车。,彼の収入が増えたので、新しい車を買いました。
394,收拾,shōu shi,to put in order; to tidy up; to pack; to repair; to punish (colloquial); to manage,片付ける,请帮我收拾房间。,私の部屋を片付けるのを手伝ってください。,Please help me tidy up the room.,每天睡觉前，我都会收拾房间，保持整齐。,毎晩寝る前に部屋を片付けて、きちんと保っています。
395,首都,shǒu dū,capital (city); CL:个,首都,北京是中国首都。,北京は中国の首都です。,Beijing is the capital of China.,北京是中国的首都，有很多著名的历史景点。,北京は中国の首都で、有名な歴史的観光地がたくさんあります。
396,首先,shǒu xiān,first (of all); in the first place,まず,首先要学习汉语。,まず漢語を勉強しなければなりません。,"First, you need to learn Chinese.",首先，我们需要制定一个详细的计划。,まず第一に、私たちは詳細な計画を立てる必要があります。
397,受不了,shòu bù liǎo,unbearable; unable to endure; can't stand,耐えられない,我受不了噪音。,私は騒音に耐えられません。,I can't stand the noise.,天气太热了，我实在受不了了，想开空调。,天気が暑すぎて、本当に我慢できません。エアコンをつけたいです。
398,受到,shòu dào,to suffer; obtained; given; to receive,受ける,他受到大家欢迎。,彼はみんなに歓迎されています。,He is welcomed by everyone.,他因为努力学习，受到了老师的表扬。,彼は一生懸命勉強したので、先生から褒められました。
399,售货员,shòu huò yuán,salesperson; CL:个,店員,售货员很热情。,店員はとても親切です。,The salesperson is very enthusiastic.,售货员很热情，帮我选了一件合适的衣服。,店員はとても親切で、私に合った服を選んでくれました。
400,输,shū,to transport; to lose; to donate; to enter (a password),負ける,比赛我们输了。,試合で私たちは負けました。,We lost the match.,比赛中虽然输了，但我们没有放弃，继续努力。,試合では負けましたが、私たちはあきらめずに努力を続けました。
401,熟悉,shú xī,to be familiar with; to know well,よく知る,我对这城市很熟悉。,私はこの街にとても詳しい。,I am very familiar with this city.,我对这座城市的环境非常熟悉，已经生活了五年。,私はこの街の環境にとても詳しく、すでに5年間住んでいます。
402,数量,shù liàng,quantity; amount; CL:个,数量,数量影响价格。,数量は価格に影響する。,Quantity affects the price.,这批货物的数量比预期的要多出二十箱。,この荷物の数量は予想よりも20箱多いです。
403,数字,shù zì,numeral; digit; number; figure; amount; digital (electronics etc); CL:个,数字,请写下这个数字。,この数字を書いてください。,Please write down this number.,请你把这些数字写清楚，方便统计和分析。,これらの数字をはっきり書いてください。集計と分析がしやすくなります。
404,帅,shuài,handsome; graceful; smart; commander in chief,かっこいい,他是个帅男孩。,彼はハンサムな男の子です。,He is a handsome boy.,他长得很帅，所以在学校里很受欢迎。,彼はとてもかっこいいので、学校でとても人気があります。
405,顺便,shùn biàn,conveniently; in passing; without much extra effort,ついでに,顺便帮我买水果。,ついでに果物を買ってきてください。,Please help me buy some fruit on the way.,我去超市顺便买了点水果和蔬菜。,スーパーに行くついでに、果物と野菜を少し買いました。
406,顺利,shùn lì,smoothly; without a hitch,順調,工作进行得很顺利。,仕事は順調に進んでいる。,The work is going smoothly.,这次考试顺利通过了，我感到很开心。,今回の試験は順調に合格できて、とてもうれしいです。
407,顺序,shùn xù,sequence; order,順序,请按顺序排队。,順番に並んでください。,Please line up in order.,请按照顺序排队，保持秩序和安全。,順番に並んで、秩序と安全を保ってください。
408,说明,shuō míng,to explain; to illustrate; explanation; directions; caption; CL:个,説明する,老师说明了规则。,先生がルールを説明した。,The teacher explained the rules.,老师详细说明了这道题的解答方法。,先生はこの問題の解答方法を詳しく説明しました。
409,硕士,shuò shì,master's degree; learned person,修士,她是一位硕士生。,彼女は修士課程の学生です。,She is a master's student.,他去年获得了硕士学位，专业是计算机科学。,彼は昨年修士号を取得し、専攻はコンピューターサイエンスです。
410,死,sǐ,to die; impassable; uncrossable; inflexible; rigid; extremely,死ぬ,树木快要死了。,木がもうすぐ枯れそうだ。,The trees are about to die.,因为事故，他差点死了，幸好被及时救了。,事故のため、彼はもう少しで死ぬところでしたが、幸いにもすぐに救助されました。
411,塑料袋,sù liào dài,plastic bag,ビニール袋,请不要用塑料袋。,ビニール袋は使わないでください。,Please do not use plastic bags.,请不要随意丢弃塑料袋，保护环境很重要。,プラスチック袋を勝手に捨てないでください。環境保護はとても重要です。
412,速度,sù dù,speed; rate; velocity; CL:个,速度,汽车速度很快。,車の速度はとても速い。,The car's speed is very fast.,汽车的速度太快了，请注意安全驾驶。,車の速度が速すぎます。安全運転に注意してください。
413,酸,suān,sour; tart; sick at heart; grieved; sore; aching; acid,酸っぱい,这个苹果有点酸。,このリンゴは少し酸っぱい。,This apple is a bit sour.,这个柠檬有点酸，但是非常新鲜。,このレモンは少し酸っぱいですが、とても新鮮です。
414,随便,suí biàn,as one wishes; as one pleases; at random; negligent; casual; wanton,自由に,你可以随便选择。,あなたは自由に選んでいい。,You can choose freely.,你可以随便坐，不用担心位置的问题。,どうぞご自由に座ってください。席のことは気にしなくていいです。
415,随着,suí zhe,along with; in the wake of; following,～に従って,随着时间变化。,時間の経過とともに変化する。,Changes occur with the passage of time.,随着时间的推移，技术不断地发展和进步。,時間の経過とともに、技術は絶えず発展し進歩しています。
416,孙子,sūn zi,grandson (paternal),孫,他有一个孙子。,彼には孫が一人いる。,He has a grandson.,我的孙子今年上小学，一直很喜欢画画。,私の孫は今年小学校に入り、ずっと絵を描くのが好きです。
417,所有,suǒ yǒu,all; to possess; to have; to own,すべての,所有人都来了。,みんなが来た。,Everyone came.,所有的学生都参加了这次重要的考试。,全ての学生がこの重要な試験に参加しました。
