No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
1455,桥梁,qiáo liáng,bridge; fig. connection between two areas,橋梁,新桥梁连接两市中心。,新しい橋が二つの市の中心をつないでいる。,The new bridge connects the centers of the two cities.,这座桥梁不仅连接了两地，还促进了经济的快速发展。,この橋梁は二つの地域をつなぐだけでなく、経済の急速な発展も促進した。
1456,窍门,qiào mén,a trick; an ingenious method; know-how; the knack (of doing sth);,秘訣,成功有其独特窍门。,成功には独特のコツがある。,Success has its unique tricks.,掌握学习的窍门可以大大提高效率和效果。,学習のコツをつかむことで、効率と効果を大幅に向上させることができる。
1457,翘,qiào,to raise,持ち上げる,他翘起嘴角微笑。,彼は口角を上げて微笑んだ。,He curled his lips into a smile.,小猫用尾巴翘起，显得十分可爱和活泼。,子猫は尻尾をぴんと立て、とても可愛らしくて活発に見える。
1458,切实,qiè shí,feasible; earnestly; conscientiously; realistic; practical,確実に,切实解决群众问题。,住民の問題を確実に解決する。,Effectively solve the problems of the people.,我们应该切实落实环保政策，保护我们的生态环境。,私たちは環境保護政策を確実に実行し、私たちの生態環境を守らなければならない。
1459,锲而不舍,qiè ér bù shě,to chip away at a task and not abandon it (idiom); to chisel away at sth; to persevere; unflagging efforts,粘り強く,他锲而不舍地学习。,彼は粘り強く勉強している。,He studies persistently.,他以锲而不舍的精神克服了学习中的重重困难，最终取得了优异成绩。,彼は粘り強い精神で学習中の様々な困難を克服し、最終的に優れた成績を収めた。
1460,亲密,qīn mì,intimate; close;,親密,他们关系非常亲密。,彼らの関係は非常に親密だ。,They have a very close relationship.,他们之间的关系非常亲密，经常互相倾诉心事。,彼らの関係は非常に親密で、よくお互いに心の内を打ち明け合っている。
1461,亲热,qīn rè,affectionate; intimate; warm-hearted,親しみ,朋友间非常亲热。,友人同士はとても親しい。,Friends are very affectionate with each other.,夫妻俩在节日里表现得非常亲热，令人羡慕。,夫婦は祝日にとても親しげに振る舞い、周囲の羨望を集めていた。
1462,侵犯,qīn fàn,to infringe on; to encroach on; to violate,侵害,不得侵犯他人权益。,他人の権利を侵害してはならない。,One must not infringe on others' rights.,任何侵犯他人隐私的行为都是不可接受的，应当受到法律制裁。,他人のプライバシーを侵害する行為は決して許されず、法律による制裁を受けるべきだ。
1463,侵略,qīn lvè,invasion; encroachment,侵略,历史上多次遭受侵略。,歴史上、何度も侵略を受けてきた。,It has suffered invasions many times in history.,历史上多次的侵略战争给国家带来了深重的灾难。,歴史上の度重なる侵略戦争は国家に深刻な災難をもたらした。
1464,钦佩,qīn pèi,to admire; to look up to; to respect sb greatly,敬佩,我钦佩他的才华。,私は彼の才能を敬服している。,I admire his talent.,我非常钦佩他的坚持和勇气，堪称榜样。,私は彼の粘り強さと勇気を非常に尊敬しており、まさに模範と言える。
1465,勤俭,qín jiǎn,hardworking and frugal,勤倹,勤俭持家是美德。,勤勉で倹約することは美徳である。,Diligence and frugality are virtues.,勤俭节约是中华民族的传统美德，值得我们继承和发扬。,勤勉で倹約することは中国民族の伝統的な美徳であり、私たちが受け継ぎ発揚すべきものである。
1466,勤劳,qín láo,hardworking; industrious; diligent,勤勉,他勤劳工作无怨。,彼は文句を言わずに勤勉に働いている。,He works hard without complaint.,他以勤劳著称，工作从不懈怠，因此深受领导器重。,彼は勤勉で知られ、仕事を決して怠らず、リーダーから厚く信頼されている。
1467,倾听,qīng tīng,to listen attentively,傾聴,领导倾听员工意见。,リーダーは従業員の意見に耳を傾ける。,The leader listens to employees' opinions.,领导应当倾听员工的意见，才能做出更加科学合理的决策。,リーダーは従業員の意見に耳を傾けてこそ、より科学的かつ合理的な決定を下せる。
1468,倾向,qīng xiàng,trend; tendency; orientation,傾向,年轻人倾向于创新。,若者は革新を好む傾向がある。,Young people tend to be innovative.,年轻人倾向于接受新事物，具有较强的创新意识。,若者は新しいものを受け入れる傾向があり、強い革新意識を持っている。
1469,倾斜,qīng xié,to incline; to lean; to slant; to slope; to tilt,傾く,建筑物明显倾斜。,建物が明らかに傾いている。,The building is obviously tilted.,这栋建筑因为地基不稳，导致墙体轻微倾斜，需要及时修缮。,この建物は地盤が不安定なため、壁がわずかに傾いており、早急な修繕が必要だ。
1470,清澈,qīng chè,clear; limpid,澄んだ,湖水清澈见底。,湖の水は澄んでいて底まで見える。,The lake water is clear and you can see the bottom.,山泉水清澈见底，吸引了众多游客前来观赏。,山の泉の水は澄み切って底まで見え、多くの観光客を惹きつけている。
1471,清晨,qīng chén,early morning,早朝,清晨空气格外清新。,早朝の空気は特に新鮮だ。,The early morning air is especially fresh.,清晨的空气格外清新，让人精神焕发。,早朝の空気は特に新鮮で、人を元気づける。
1472,清除,qīng chú,eliminate; get rid of,除去,清除环境污染源。,環境汚染の原因を取り除く。,Eliminate sources of environmental pollution.,政府积极采取措施清除城市中的非法广告和垃圾。,政府は積極的に措置を講じて都市内の違法広告やごみを一掃している。
1473,清洁,qīng jié,clean; purity,清潔,保持室内环境清洁。,室内環境を清潔に保つ。,Keep the indoor environment clean.,保持环境清洁是每个公民应尽的责任和义务。,環境を清潔に保つことは、すべての市民が果たすべき責任と義務である。
1474,清理,qīng lǐ,clear; to put in order; to check up,整理,清理办公室桌面。,オフィスの机の上を片付ける。,Clean up the office desk.,志愿者们自发清理了社区的公共区域，环境焕然一新。,ボランティアたちは自発的に地域の公共エリアを清掃し、環境は一新された。
1475,清晰,qīng xī,clear; distinct,鮮明,图像非常清晰。,画像は非常に鮮明だ。,The image is very clear.,他讲解得非常清晰，使大家都能理解复杂的理论知识。,彼の説明は非常に明瞭で、皆が複雑な理論知識を理解できた。
1476,清醒,qīng xǐng,clear-headed; sober; awake,意識清醒,事故后他很快清醒。,事故の後、彼はすぐに正気に戻った。,He quickly regained consciousness after the accident.,经历了短暂的休息后，他迅速清醒过来，继续投入工作。,短い休憩を経て、彼はすぐに正気を取り戻し、仕事に戻った。
1477,清真,qīng zhēn,Islamic; Muslim; halal (of food); clean; pure,イスラム教,清真食品受欢迎。,ハラール食品は人気がある。,Halal food is popular.,这家餐厅专门提供清真食品，满足穆斯林的饮食需求。,このレストランはハラール食品を専門に提供し、ムスリムの食事ニーズに応えている。
1478,情报,qíng bào,(spy) intelligence; information-gathering,情報,情报部门秘密工作。,情報部門は秘密裏に活動している。,The intelligence department works secretly.,情报部门成功获取了重要的敌方军事动态，提前做出应对。,情報部門は重要な敵の軍事動態を入手し、事前に対応した。
1479,情节,qíng jié,plot; circumstances,情節,小说情节扣人心弦。,小説の筋は人の心を引きつける。,The novel's plot is gripping.,这部电影的情节跌宕起伏，扣人心弦，深受观众喜爱。,この映画のストーリーは起伏に富み、心を揺さぶり、観客に非常に好まれている。
1480,情理,qíng lǐ,reason; sense,道理,他说话很有情理。,彼の話し方は理にかなっている。,He speaks very reasonably.,在处理问题时，必须考虑情理，做到既合理又合情。,問題を処理する際には情理を考慮し、合理的かつ情にかなった対応をしなければならない。
1481,情形,qíng xíng,circumstances; situation; CL:个,状況,目前情形复杂多变。,現在の状況は複雑で変化が激しい。,The current situation is complex and ever-changing.,面对复杂的情形，他冷静分析，找到了最佳解决方案。,複雑な状況に直面し、彼は冷静に分析して最適な解決策を見つけた。
1482,晴朗,qíng lǎng,sunny and cloudless,晴れ,今天天气晴朗无云。,今日は晴れて雲一つない天気だ。,The weather is clear and cloudless today.,今天的天气晴朗，适合户外运动和郊游。,今日は晴れ渡っていて、屋外運動やピクニックに適している。
1483,请柬,qǐng jiǎn,invitation card; written invitation,招待状,请柬已经寄出。,招待状はすでに送られた。,The invitation has already been sent.,他亲自设计了请柬，邀请亲朋好友参加婚礼。,彼は自ら招待状をデザインし、親しい友人や家族を結婚式に招待した。
1484,请教,qǐng jiào,consult,教えを請う,他向老师请教问题。,彼は先生に質問を教えてもらった。,He asked the teacher for help with questions.,遇到不懂的问题，应该及时请教老师，避免错误积累。,わからない問題に直面したら、すぐに先生に尋ねて誤りの蓄積を避けるべきだ。
1485,请示,qǐng shì,ask for instructions,報告を求める,请示上级审批方案。,上司に計画の承認を請示する。,Request approval of the plan from superiors.,项目进展遇到困难，经理向上级请示下一步工作方案。,プロジェクトが困難に直面したため、マネージャーは上司に次の作業計画を伺った。
1486,请帖,qǐng tiě,invitation card; written invitation,招待状,收到婚礼请帖。,結婚式の招待状を受け取った。,Received a wedding invitation.,收到请帖后，他马上回复确认是否出席宴会。,招待状を受け取ると、すぐに出席の可否を返信した。
1487,丘陵,qiū líng,hills,丘陵,丘陵地带风景优美。,丘陵地帯の風景は美しい。,The scenery in the hilly area is beautiful.,丘陵地带的农业发展受地形限制，需要采取特殊的耕作方法。,丘陵地帯の農業発展は地形に制約されており、特殊な耕作方法を採用する必要がある。
1488,区分,qū fēn,to differentiate; to find differing aspects,区別,要学会区分真假。,真偽を見分けることを学ばなければならない。,You must learn to distinguish between true and false.,我们应该学会区分事实和观点，避免被误导。,私たちは事実と意見を区別することを学び、誤った誘導を避けるべきだ。
1489,区域,qū yù,area; region; district,区域,开发新区城市区域。,新しい都市区域を開発する。,Develop new urban areas.,该区域经济发展迅速，吸引了大量外来投资。,この地域は経済発展が急速で、多くの外部投資を引きつけている。
1490,屈服,qū fú,to surrender; to yield,屈服,敌军最终屈服投降。,敵軍は最終的に屈服して降伏した。,The enemy army ultimately surrendered.,面对强大的压力，他没有屈服，始终坚持自己的信念。,強大なプレッシャーに直面しても彼は屈せず、信念を貫き通した。
1491,曲折,qū zhé,complicated; winding,曲折,人生经历曲折复杂。,人生経験は曲折に富んでいる。,Life experiences are full of twists and turns.,这条道路曲折复杂，司机需要格外小心驾驶。,この道路は曲がりくねって複雑で、運転手は特に注意して運転する必要がある。
1492,驱逐,qū zhú,to expel; to deport; banishment,追放,非法移民被驱逐出境。,不法移民は国外追放された。,Illegal immigrants were deported.,政府决定驱逐非法入境者，维护国家安全和社会秩序。,政府は違法入国者を追放し、国家の安全と社会秩序を維持することを決定した。
1493,渠道,qú dào,irrigation ditch; medium or channel of communication,経路,销售渠道多样化。,販売チャネルは多様化している。,Sales channels are diversified.,通过多种渠道获取信息，有助于全面了解市场动态。,多様なルートを通じて情報を入手することは、市場の動向を全面的に把握するのに役立つ。
1494,取缔,qǔ dì,"to ban; to prohibit (publications, customs etc); to outlaw; to suppress (violators)",取り締まり,政府取缔非法集资。,政府は違法な資金集めを取り締まった。,The government cracked down on illegal fundraising.,政府取缔了多家非法经营的企业，净化了市场环境。,政府は多くの違法営業企業を取り締まり、市場環境を浄化した。
1495,曲子,qǔ zi,poem for singing; tune; music; CL:支[zhi1],曲,他弹奏优美曲子。,彼は美しい曲を演奏した。,He played a beautiful tune.,这首曲子旋律优美，深受广大音乐爱好者喜爱。,この曲は旋律が美しく、多くの音楽愛好家に愛されている。
1496,趣味,qù wèi,fun; interest; delight; taste; liking; preference,趣味,读书是他的趣味。,読書は彼の趣味だ。,Reading is his hobby.,阅读不同类型的书籍可以拓宽趣味，丰富生活。,様々な種類の本を読むことで趣味を広げ、生活を豊かにできる。
1497,圈套,quān tào,trap; snare; trick,罠,小心敌人的圈套。,敵の罠に注意しなさい。,Be careful of the enemy's trap.,他巧妙地设计了圈套，成功诱使对手上钩。,彼は巧みに罠を仕掛け、見事に相手を引っ掛けた。
1498,全局,quán jú,overall situation,全体,制定全局发展战略。,全体の発展戦略を策定する。,Formulate a comprehensive development strategy.,领导者应具备全局观念，统筹兼顾各方面利益。,リーダーは全体観念を持ち、各方面の利益を統合的に考慮すべきだ。
1499,全力以赴,quán lì yǐ fù,do at all costs; make an all-out effort,全力投球,比赛中全力以赴。,試合では全力を尽くす。,Give your all in the competition.,面对挑战，他总是全力以赴，毫不懈怠地追求目标。,挑戦に直面すると、彼はいつも全力を尽くし、決して怠らず目標を追求する。
1500,拳头,quán tou,fist; clenched fist; competitive (product); superior quality; CL: 个,拳,他的拳头很有力。,彼の拳はとても力強い。,His fist is very powerful.,他握紧拳头，准备迎接即将到来的比赛挑战。,彼は拳を握りしめ、これから始まる試合の挑戦に備えた。
1501,权衡,quán héng,to weigh; to consider; to assess; to balance; to trade-off,衡量,权衡利弊，作出决定。,利害を天秤にかけて、決定を下す。,Weigh the pros and cons and make a decision.,在做出最终决定之前，我们必须权衡各种利弊，确保选择最优方案。,最終決定を下す前に、私たちは様々な利害を慎重に比較し、最良の案を選択しなければならない。
1502,权威,quán wēi,authority; authoritative; power and prestige,権威,专家的权威不容质疑。,専門家の権威は疑問視される余地がない。,The authority of experts is beyond question.,他在学术界具有很高的权威，许多年轻学者都尊敬他的观点。,彼は学術界で非常に高い権威を持っており、多くの若い学者が彼の意見を尊敬している。
1503,犬,quǎn,dog,犬,忠诚的犬守护主人。,忠実な犬が主人を守る。,A loyal dog guards its owner.,这只犬经过严格训练，已经能够完成复杂的救援任务。,この犬は厳しい訓練を経て、複雑な救助任務を遂行できるようになった。
1504,缺口,quē kǒu,nick; jag; gap; shortfall,欠損,市场上出现缺口需求。,市場に需要の隙間が現れた。,A gap in demand has appeared in the market.,市场上的人才缺口越来越大，企业急需引进高素质的专业人才。,市場における人材の不足がますます深刻になり、企業は質の高い専門人材の導入を急いでいる。
1505,缺席,quē xí,absence; absent,欠席,他因病缺席会议。,彼は病気のため会議を欠席した。,He was absent from the meeting due to illness.,由于身体不适，他连续多次缺席了重要的会议和培训。,体調不良のため、彼は重要な会議と研修を連続して欠席した。
1506,缺陷,quē xiàn,a defect; a flaw,欠陥,产品存在设计缺陷。,製品には設計上の欠陥がある。,The product has design defects.,这款新产品在设计上存在一些缺陷，需要及时改进以满足用户需求。,この新製品は設計にいくつかの欠陥があり、ユーザーの要求を満たすために早急な改良が必要だ。
1507,瘸,qué,lame,跛行,老人因伤瘸着走路。,老人はけがのため足を引きずって歩いている。,The old man is limping because of an injury.,他小时候因为一次事故导致腿部瘸了，但依然积极面对生活挑战。,彼は子供の頃の事故で足を引きずるようになったが、それでも積極的に生活の挑戦に立ち向かっている。
1508,确保,què bǎo,to ensure; to guarantee,確保,确保数据安全无误。,データの安全性と正確性を確保する。,Ensure data security and accuracy.,公司采取多项措施，确保产品质量达到国际标准。,会社は複数の対策を講じて、製品の品質が国際基準に達することを保証している。
1509,确立,què lì,to establish; to institute,確立,确立新的管理制度。,新しい管理制度を確立する。,Establish a new management system.,经过反复讨论，团队终于确立了项目的核心目标和实施方案。,何度も議論を重ねた末、チームはついにプロジェクトの核心目標と実施計画を確立した。
1510,确切,què qiè,definite; exact; precise,確実,提供确切的信息。,正確な情報を提供する。,Provide accurate information.,请提供确切的数据，以便我们做出科学合理的分析和判断。,科学的かつ合理的な分析と判断を行うために、正確なデータを提供してください。
1511,确信,què xìn,to be convinced; to be sure; to firmly believe; to be positive that; definite news,確信,他确信自己的判断。,彼は自分の判断を確信している。,He is confident in his own judgment.,他确信自己的选择是正确的，因此毫不犹豫地坚持了下来。,彼は自分の選択が正しいと確信していたので、ためらうことなくそれを貫いた。
1512,群众,qún zhòng,mass; multitude; the masses,群衆,群众积极参与活动。,大衆は積極的に活動に参加している。,The masses actively participate in the activities.,群众的支持是改革顺利推进的重要保障，必须高度重视民意反馈。,群衆の支持は改革を順調に推進するための重要な保障であり、民意のフィードバックを重視しなければならない。
1513,染,rǎn,to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add colour washes to a painting,染める,染发成为时尚趋势。,ヘアカラーリングがファッショントレンドになっている。,Hair dyeing has become a fashion trend.,环境污染严重，许多河流被有害物质染黑，生态系统面临威胁。,環境汚染が深刻で、多くの河川が有害物質で黒ずみ、生態系が脅かされている。
1514,嚷,rǎng,blurt out; to shout,叫ぶ,孩子在街上嚷嚷。,子供が街で騒いでいる。,The child is shouting in the street.,他在会议上嚷嚷着表达自己的不满，场面一度非常混乱。,彼は会議で不満を叫びながら表現し、現場は一時非常に混乱した。
1515,让步,ràng bù,to concede; to give in; to yield; a concession,譲歩,双方最终做出让步。,双方は最終的に譲歩した。,Both sides finally made concessions.,为了达成共识，双方都做出了让步，会议最终取得了积极成果。,合意を得るために、双方とも譲歩し、会議は最終的に積極的な成果を収めた。
1516,饶恕,ráo shù,forgiveness; spare,寛恕,他请求饶恕过错。,彼は過ちの許しを請うた。,He asked for forgiveness for his mistakes.,他诚恳地请求对方饶恕自己的过失，希望能够重新开始合作。,彼は誠心誠意相手に自分の過失を許してほしいと願い、再び協力を始めたいと思っている。
1517,扰乱,rǎo luàn,to disturb; to perturb; to harass,混乱,噪音扰乱了秩序。,騒音が秩序を乱した。,The noise disturbed the order.,这场突发事件严重扰乱了城市的正常秩序，引起了广泛关注。,この突発事件は都市の通常秩序を深刻に乱し、広範な注目を集めた。
1518,惹祸,rě huò,stirring up trouble; to invite disaster,災いを招く,他的行为惹祸上身。,彼の行動が災いを招いた。,His behavior brought trouble upon himself.,他的一时冲动惹祸上身，导致公司蒙受了巨大的经济损失。,彼の一時の衝動が災いを招き、会社に多大な経済的損失をもたらした。
1519,热泪盈眶,rè lèi yíng kuàng,eyes brimming with tears of excitement (idiom); extremely moved,涙があふれる,感动得热泪盈眶。,感動して涙があふれた。,Moved to tears.,看到久别重逢的亲人，她忍不住热泪盈眶，感动得说不出话来。,久しぶりに再会した親族を見て、彼女は思わず涙が溢れ、感動で言葉が出なかった。
1520,热门,rè mén,popular; hot; in vogue,人気,这本书非常热门。,この本は非常に人気がある。,This book is very popular.,这部电影凭借独特的剧情和精湛的演技，成为今年的热门作品。,この映画は独特なストーリーと卓越した演技で、今年の人気作品となった。
1521,人道,rén dào,"human sympathy; humanitarianism; humane; the 'human way', one of the stages in the cycle of reincarnation (Buddhism); sexual intercourse",人道,应当尊重人道原则。,人道の原則を尊重すべきだ。,Humanitarian principles should be respected.,在灾难面前，国际社会应共同遵守人道主义原则，提供必要援助。,災害の前に、国際社会は共に人道主義の原則を守り、必要な援助を提供すべきだ。
1522,人格,rén gé,personality; integrity; dignity,人格,他的人格魅力非凡。,彼の人格的魅力は並外れている。,His personal charisma is extraordinary.,他的高尚人格和无私精神赢得了同事们的广泛尊敬。,彼の高潔な人格と無私の精神は同僚たちの広い尊敬を勝ち取った。
1523,人工,rén gōng,artificial; manpower; manual work,人工,人工智能发展迅速。,人工知能は急速に発展している。,Artificial intelligence is developing rapidly.,为了节约成本，公司决定采用人工智能技术替代部分人工操作。,コストを節約するために、会社は人工知能技術を採用して一部の手作業を代替することに決めた。
1524,人家,rén jia,"other; other people; him(her, them); I",家,人家都很友好。,みんなとても親切だ。,Everyone is very friendly.,人家虽然不富裕，但他们的生活充满了温馨与幸福。,あの家は裕福ではないが、生活は温かさと幸福に満ちている。
1525,人间,rén jiān,man's world; the world,人間,人间充满了温情。,人の世は温かさに満ちている。,The human world is full of warmth.,在人间经历了种种磨难后，他终于找到了属于自己的幸福。,この世で様々な苦難を経験した後、彼はついに自分の幸せを見つけた。
1526,人士,rén shì,person; figure; public figure,人物,各界人士齐聚一堂。,各界の人々が一堂に会した。,People from all walks of life gathered together.,社会各界人士积极参与了此次环保公益活动，表现出高度责任感。,社会の各界の人々が積極的にこの環境保護の公益活動に参加し、高い責任感を示した。
1527,人为,rén wéi,artificial; man-made; having human cause or origin; human attempt or effort,人為的,这是人为造成的错误。,これは人為的に引き起こされたミスだ。,This is a mistake caused by human error.,很多问题都是人为因素导致的，我们需要采取有效措施加以防范。,多くの問題は人為的な要因によって引き起こされており、私たちは効果的な対策を講じて防止する必要がある。
1528,人性,rén xìng,human nature; humanity; human; the totality of human attributes,人間性,人性复杂而多变。,人間性は複雑で多様だ。,Human nature is complex and variable.,人性中的善良和同情心是促进社会和谐的重要基石。,人間性の中の善良さと同情心は、社会の調和を促進する重要な基盤である。
1529,人质,rén zhì,hostage,人質,人质安全已获保证。,人質の安全はすでに保証された。,The safety of the hostages has been guaranteed.,警方成功解救了被劫持的人质，避免了一场严重的危机。,警察は人質を無事に救出し、深刻な危機を回避した。
1530,仁慈,rén cí,benevolent; charitable; kind; kindly; kindness; merciful,仁慈,他以仁慈待人。,彼は慈悲深く人に接する。,He treats people with kindness.,他的仁慈和宽容使得团队成员之间的关系更加融洽。,彼の慈悲深さと寛容さがチームメンバー間の関係をより円滑にした。
1531,忍耐,rěn nài,to show restraint; to repress (anger etc); to exercise patience,忍耐,忍耐是成功的关键。,忍耐は成功の鍵だ。,Patience is the key to success.,面对重重困难，她展现出了极强的忍耐力和坚定的信念。,多くの困難に直面して、彼女は非常に強い忍耐力と揺るぎない信念を示した。
1532,忍受,rěn shòu,to bear; to endure,耐える,她忍受了巨大痛苦。,彼女は大きな苦痛に耐えた。,She endured great pain.,他无法忍受长期的压力，最终选择了辞职离开公司。,彼は長期にわたるプレッシャーに耐えられず、最終的に辞職して会社を去ることを選んだ。
1533,任命,rèn mìng,to appoint and nominate,任命,他被任命为经理。,彼はマネージャーに任命された。,He was appointed as manager.,公司正式任命她为新任总经理，负责全面管理和运营工作。,会社は正式に彼女を新任の総経理に任命し、全面的な管理と運営を担当させた。
1534,任性,rèn xìng,willful; headstrong; uninhibited,わがまま,孩子任性难以管教。,子供はわがままで手に負えない。,The child is willful and hard to discipline.,他的任性行为给团队带来了不少麻烦，需要及时加以纠正。,彼のわがままな行動はチームに多くのトラブルをもたらし、早急に訂正する必要がある。
1535,任意,rèn yì,arbitrary; at will; at random,勝手に,不能任意更改计划。,計画を勝手に変更してはいけない。,You must not arbitrarily change the plan.,未经许可，他擅自任意更改了项目计划，导致进度严重延误。,許可なく彼は独断でプロジェクト計画を変更し、進捗が大幅に遅れた。
1536,任重道远,rèn zhòng dào yuǎn,"a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)",使命重大,任重道远需坚持。,重い任務を背負い、道は遠いので努力が必要だ。,"With heavy responsibilities and a long road ahead, perseverance is needed.",作为科研人员，我们肩负着任重道远的使命，必须不断努力创新。,研究者として、私たちは重い責任があり遠い道の使命を背負い、絶えず努力して革新しなければならない。
1537,认定,rèn dìng,to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with,確信する,我认定他无罪。,私は彼が無罪だと確信している。,I am convinced that he is innocent.,经过调查，他认定这起事故是由于设备故障引起的。,調査の結果、彼はこの事故が設備の故障によって引き起こされたと断定した。
1538,认可,rèn kě,to approve; approval; acknowledgment; OK,承認,社会对他的认可。,社会からの彼への認知。,Society's recognition of him.,社会普遍认可他的贡献，授予他多项荣誉称号。,社会は彼の貢献を広く認め、彼に多くの栄誉称号を授与した。
1539,仍旧,réng jiù,still (remaining); to remain (the same); yet,依然,他仍旧坚持理想。,彼は依然として理想を貫いている。,He still坚持s his ideals.,尽管经历了挫折，他仍旧保持乐观积极的心态面对未来。,挫折を経験したにもかかわらず、彼は依然として楽観的で積極的な心態を持って未来に臨んでいる。
1540,日新月异,rì xīn yuè yì,"daily renewal, monthly change (idiom); every day sees new developments; rapid progress",日進月歩,科技日新月异发展。,科学技術は日々進歩している。,Technology develops rapidly day by day.,科技的发展日新月异，给我们的生活带来了翻天覆地的变化。,科学技術の発展は日進月歩で、私たちの生活に大きな変革をもたらしている。
1541,日益,rì yì,day by day; more and more; increasingly; more and more with each passing day,日増しに,环境日益恶化严重。,環境はますます深刻に悪化している。,The environment is deteriorating increasingly seriously.,随着经济的不断发展，人们的生活水平也在日益提高。,経済の絶え間ない発展に伴い、人々の生活水準も日々向上している。
1542,容貌,róng mào,one's appearance; one's aspect; looks; features,容貌,她容貌端庄秀丽。,彼女は端正で美しい容貌をしている。,She has a dignified and beautiful appearance.,她的容貌清秀端庄，给人留下了深刻的第一印象。,彼女の容貌は清楚で端正であり、強い第一印象を残した。
1543,容纳,róng nà,to hold; to contain; to accommodate; to tolerate (different opinions),収容,学校可容纳千人。,学校は千人を収容できる。,The school can accommodate a thousand people.,这个会议室能够容纳五十人，适合举办中型规模的活动。,この会議室は50人を収容でき、中規模のイベントの開催に適している。
1544,容器,róng qì,receptacle; vessel,容器,请使用密封容器。,密封容器を使用してください。,Please use a sealed container.,科学家们设计了一种新型容器，可以有效保存易挥发的化学品。,科学者たちは新型の容器を設計し、揮発性の化学物質を効果的に保存できるようにした。
1545,容忍,róng rěn,to put up with; to tolerate,我慢する,他能容忍批评。,彼は批判を容認できる。,He can tolerate criticism.,在激烈的竞争环境中，领导者必须学会容忍不同的意见和声音。,激しい競争環境の中で、リーダーは異なる意見や声を容認することを学ばなければならない。
1546,溶解,róng jiě,dissolve; solution,溶解,盐迅速溶解于水。,塩は水に素早く溶ける。,Salt dissolves quickly in water.,盐在水中能够迅速溶解，形成均匀的盐水溶液。,塩は水中で素早く溶解し、均一な塩水溶液を形成する。
1547,荣幸,róng xìng,honored,光栄,能与您共事荣幸。,あなたと共に働けることを光栄に思います。,It is an honor to work with you.,能够参加此次国际会议，我感到非常荣幸和自豪。,今回の国際会議に参加できて非常に光栄で誇りに思う。
1548,荣誉,róng yù,honor; credit; glory; (honorable) reputation,名誉,赢得了巨大的荣誉。,大きな栄誉を勝ち取った。,Won great honor.,他因在科研领域的突出贡献，获得了多项国家级荣誉称号。,彼は研究分野での卓越した貢献により、複数の国家級の栄誉称号を受けた。
1549,融化,róng huà,to melt; to thaw; to dissolve; to blend into; to combine; to fuse,融解,冰雪在阳光下融化。,氷雪は日光の下で溶ける。,Ice and snow melt under the sunlight.,随着气温升高，冰川开始融化，对生态环境造成威胁。,気温の上昇に伴い、氷河が融け始め、生態環境に脅威をもたらしている。
1550,融洽,róng qià,harmonious; friendly relations; on good terms with one another,融和,双方关系日益融洽。,双方の関係はますます円満になっている。,The relationship between both sides is becoming increasingly harmonious.,经过多次合作，双方关系日益融洽，建立了深厚的信任基础。,何度も協力を重ね、双方の関係は日増しに円滑になり、深い信頼の基盤を築いた。
1551,揉,róu,to knead; to massage; to rub,揉む,他轻轻揉着太阳穴。,彼はそっとこめかみを揉んでいる。,He gently rubbed his temples.,在按摩的过程中，按摩师会轻轻揉捏客户的肌肉，缓解疲劳和紧张。,マッサージの過程で、マッサージ師はお客様の筋肉を優しく揉みほぐし、疲労と緊張を和らげる。
1552,柔和,róu hé,gentle; soft,柔らかい,她的声音柔和动听。,彼女の声は柔らかくて聞き心地が良い。,Her voice is soft and pleasant.,她的声音柔和动听，总能让人感到心情平静和舒适。,彼女の声は柔らかくて聞き心地がよく、いつも人を心穏やかで快適な気持ちにさせる。
1553,儒家,rú jiā,"Confucianism; Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC);",儒教,儒家思想影响深远。,儒教思想は深い影響を与えている。,Confucianism has a profound influence.,儒家思想强调仁义礼智信，对中国文化产生了深远影响。,儒家思想は仁義礼智信を強調し、中国文化に深遠な影響を与えた。
1554,弱点,ruò diǎn,weak point; failing,弱点,他的弱点是缺乏耐心。,彼の弱点は忍耐力がないことだ。,His weakness is a lack of patience.,每个人都有自己的弱点，重要的是如何克服和改进。,誰にでも弱点はあるが、大切なのはそれをどう克服し改善するかである。
1555,若干,ruò gān,a certain number or amount; how many?; how much?,いくつか,会议涉及若干重要议题。,会議はいくつかの重要な議題を扱った。,The meeting involved several important topics.,会议上讨论了若干重要的问题，涉及公司的未来发展方向。,会議ではいくつかの重要な問題が議論され、会社の将来の発展方向に関わった。
1556,撒谎,sā huǎng,to tell lies,嘘をつく,他撒谎掩盖真相。,彼は嘘をついて真実を隠した。,He lied to cover up the truth.,撒谎不仅会破坏人与人之间的信任，还可能导致严重的后果。,嘘をつくことは人と人との信頼を破壊するだけでなく、深刻な結果を招くこともある。
