No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
270,又,yòu,(once) again; also; both... and...; again,また,他又来了。,彼がまた来ました。,He came again.,他又高又帅，大家都喜欢他。,彼は背が高くてかっこいいので、みんなに好かれています。
271,遇到,yù dào,to meet; to run into; to come across,出会う,我遇到朋友。,私は友達に会いました。,I met a friend.,昨天我在路上遇到了我的老师。,昨日、道で先生に会いました。
272,元,yuán,Yuan (RMB); first; primary; basic,元,这个多少钱？,これはいくらですか？,How much is this?,这本书的价格是五十元。,この本の値段は50元です。
273,愿意,yuàn yì,to wish; to want; ready; willing (to do sth),〜したい,我愿意帮你。,私は喜んであなたを助けます。,I am willing to help you.,如果你愿意，我们可以一起去旅行。,もしあなたがよければ、一緒に旅行に行きましょう。
274,月亮,yuè liang,moon,月,月亮很美。,月がとても美しいです。,The moon is very beautiful.,晚上我们一起看了美丽的月亮。,夜、私たちは一緒に美しい月を見ました。
275,越,yuè,to exceed; to climb over; to surpass; the more... the more,ますます,越学越好。,学べば学ぶほど上手になります。,"The more you study, the better you get.",学习汉语越努力，进步越快。,中国語を勉強すればするほど、進歩が早くなります。
276,站,zhàn,station; to stand; to halt; to stop; branch of a company or organisation,立つ,请站起来。,立ってください。,Please stand up.,请在这里站一会儿等我。,ここで少し立って待っていてください。
277,张,zhāng,"classifier for flat objects, sheet; sheet of paper; classifier for votes; to open up; to spread;",枚,请给我一张。,一枚ください。,Please give me one (sheet/ticket).,桌子上放着一张漂亮的照片。,机の上にきれいな写真が一枚置いてあります。
278,长,zhǎng,elder; senior; to grow; to develop; to come into being; to acquire; to enhance; to increase,成長する,他长得高。,彼は背が高いです。,He is tall.,他长得很高，有一米八五。,彼は背が高く、1メートル85あります。
279,着急,zháo jí,to worry; to feel anxious,焦る,别着急。,焦らないで。,Don't be anxious.,考试快到了，我有点儿着急。,試験が近づいていて、少し焦っています。
280,照顾,zhào gu,to take care of; to show consideration; to attend to; to look after,世話する,她照顾孩子。,彼女は子供の世話をします。,She takes care of the child.,妈妈生病了，我要照顾她。,母が病気なので、私が看病しなければなりません。
281,照片,zhào piàn,"photo; photograph; picture; CL:张[zhang1] ,套[tao4] ,幅[fu2]",写真,这是我的照片。,これは私の写真です。,This is my photo.,这张照片是我们去年旅行时拍的。,この写真は私たちが去年旅行したときに撮ったものです。
282,照相机,zhào xiàng jī,"camera; CL:个,架[jia4] ,部[bu4] ,台[tai2] ,只[zhi1]",カメラ,我有照相机。,私はカメラを持っています。,I have a camera.,请用照相机拍几张风景照片。,カメラで風景の写真を何枚か撮ってください。
283,只,zhǐ,only; just; merely,だけ,我只有一支笔。,私はペンが一本しかありません。,I only have one pen.,我家里只有一只猫，没有狗。,うちには猫が一匹だけいて、犬はいません。
284,只,zhǐ,single; one-only,（動物の量詞）,这只狗很可爱。,この犬はとても可愛いです。,This dog is very cute.,他只会说中文，不会说英文。,彼は中国語しか話せず、英語は話せません。
285,只有…才…,zhǐ yǒu …cái …,only if… then…,〜してこそ,只有努力才成功。,努力した人だけが成功します。,Only those who work hard succeed.,只有努力学习才会取得好成绩。,努力して勉強したからこそ、良い成績を取れます。
286,中间,zhōng jiān,between; intermediate; mid; middle,中央,他坐中间。,彼は真ん中に座っています。,He sits in the middle.,教室的中间放着一张大桌子。,教室の真ん中に大きな机が置いてあります。
287,中文,zhōng wén,Chinese written language; Chinese writing; Chinese,中国語,我学中文。,私は中国語を勉強します。,I study Chinese.,我每天都练习中文口语。,私は毎日中国語の会話を練習しています。
288,终于,zhōng yú,at last; in the end; finally; eventually,ついに,我终于来了。,私はついに来ました。,I finally came.,经过努力，我们终于完成了任务。,努力の末、私たちはついに任務を完了しました。
289,种,zhǒng,kind; sort; type,種類,我喜欢这种花。,私はこの種類の花が好きです。,I like this kind of flower.,这种水果很甜，大家都喜欢吃。,この種類の果物はとても甘くて、みんなが好きです。
290,重要,zhòng yào,important; significant; major,重要,健康很重要。,健康はとても大切です。,Health is very important.,健康是最重要的财富。,健康は最も重要な財産です。
291,周末,zhōu mò,weekend,週末,周末我休息。,週末は休みます。,I rest on weekends.,周末我喜欢和朋友一起出去玩。,週末は友達と一緒に出かけるのが好きです。
292,主要,zhǔ yào,main; principal; major; primary,主な,主要问题是钱。,主な問題はお金です。,The main problem is money.,他的主要工作是教中文。,彼の主な仕事は中国語を教えることです。
293,注意,zhù yì,to take note of; to pay attention to,注意する,请注意安全。,安全に注意してください。,Please pay attention to safety.,走路的时候要注意安全。,歩くときは安全に注意しなければなりません。
294,自己,zì jǐ,self; (reflexive pronoun); own,自分,自己做饭。,自分で料理をします。,I cook by myself.,你应该相信自己，勇敢面对困难。,自分を信じて、勇敢に困難に立ち向かうべきです。
295,自行车,zì xíng chē,bicycle; bike; CL:辆[liang4],自転車,我骑自行车。,私は自転車に乗ります。,I ride a bicycle.,我每天骑自行车去学校。,私は毎日自転車で学校に行きます。
296,总是,zǒng shì,always,いつも,他总是迟到。,彼はいつも遅刻します。,He is always late.,他总是帮助别人，很热心。,彼はいつも人を助けて、とても親切です。
297,嘴,zuǐ,"mouth; beak; spout (of teapot etc); CL:张[zhang1] ,个",口,嘴巴张开。,口を開けて。,Open your mouth.,他说话的时候嘴巴动得很快。,彼は話すときに口がとても速く動きます。
298,最后,zuì hòu,final; last; finally; ultimate,最後,最后我赢了。,最後に私は勝ちました。,"In the end, I won.",最后，我们一起庆祝了成功。,最後に、私たちは一緒に成功を祝いました。
299,最近,zuì jìn,recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes),最近,最近很忙。,最近とても忙しいです。,I have been very busy recently.,最近天气很热，要多喝水。,最近は暑いので、水をたくさん飲むべきです。
300,作业,zuò yè,school assignment; homework; work; task; operation; to operate; CL:个,宿題,我做作业。,私は宿題をします。,I do homework.,老师布置了很多作业，我们要认真完成。,先生はたくさんの宿題を出したので、私たちは真剣に終わらせなければなりません。
